"treated","trump_approval","video_id","vote_pres_2020","vote_pres_2024","partisanship","democratic_party_fav","republican_party_fav","trump_fav","biden_fav"
1,0,11,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,11,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,11,"other_did_not_vote","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,11,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
1,0,11,"Republican Donald Trump","Democrat Kamala Harris","Republican","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
1,0,11,"other_did_not_vote","other_did_not_vote","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,11,"other_did_not_vote","Democrat Kamala Harris","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,11,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,11,"other_did_not_vote","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,1,11,"Republican Donald Trump","Democrat Kamala Harris","Republican","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,1,11,"other_did_not_vote","other_did_not_vote","Independent","Never heard of/Not sure","Never heard of/Not sure","Very Unfavorable","Somewhat Favorable"
1,0,11,"other_did_not_vote","other_did_not_vote","Independent","Very unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
1,1,13,"other_did_not_vote","Republican Donald Trump","Independent","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,13,"Republican Donald Trump","Republican Donald Trump","Independent","Very unfavorable","Somewhat unfavorable","Very Favorable","Very Unfavorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,13,"Democrat Joe Biden","other_did_not_vote","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,13,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Somewhat unfavorable","Very Unfavorable","Very Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,13,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,13,"other_did_not_vote","other_did_not_vote","Independent","Somewhat favorable","Somewhat favorable","Somewhat Favorable","Somewhat Favorable"
1,0,13,"Democrat Joe Biden","Republican Donald Trump","Independent","Very favorable","Very favorable","Somewhat Favorable","Somewhat Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Something else","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Somewhat unfavorable","Very Unfavorable","Very Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Republican","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,13,"other_did_not_vote","other_did_not_vote","Republican","Somewhat favorable","Somewhat favorable","Somewhat Unfavorable","Somewhat Unfavorable"
1,1,13,"Republican Donald Trump","Republican Donald Trump","Independent","Very unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,1,13,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,13,"Republican Donald Trump","Republican Donald Trump","Something else","Very unfavorable","Very favorable","Very Favorable","Somewhat Unfavorable"
1,1,13,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,0,13,"Democrat Joe Biden","other_did_not_vote","Democrat","Very favorable","Very unfavorable","Somewhat Favorable","Somewhat Favorable"
1,0,13,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,1,13,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Somewhat Favorable","Very Unfavorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Somewhat Unfavorable"
1,1,12,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Favorable"
1,0,12,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,12,"Republican Donald Trump","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,0,12,"other_did_not_vote","other_did_not_vote","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,0,12,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,12,"other_did_not_vote","other_did_not_vote","Democrat","Somewhat favorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,0,12,"Democrat Joe Biden","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
1,0,12,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Somewhat unfavorable","Somewhat Unfavorable","Very Favorable"
1,1,12,"other_did_not_vote","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,12,"other_did_not_vote","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Unfavorable","Very Unfavorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,12,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Very unfavorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,12,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,12,"Democrat Joe Biden","other_did_not_vote","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,12,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,12,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,12,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,15,"other_did_not_vote","other_did_not_vote","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","other_did_not_vote","Independent","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
1,0,15,"other_did_not_vote","Democrat Kamala Harris","Independent","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Democrat","Never heard of/Not sure","Never heard of/Not sure","Very Favorable","Somewhat Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Independent","Never heard of/Not sure","Never heard of/Not sure","Somewhat Favorable","Very Unfavorable"
1,1,15,"other_did_not_vote","other_did_not_vote","Democrat","Never heard of/Not sure","Somewhat unfavorable","Very Favorable","Very Unfavorable"
1,0,15,"Republican Donald Trump","Republican Donald Trump","Independent","Very unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,15,"other_did_not_vote","Republican Donald Trump","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,0,15,"other_did_not_vote","other_did_not_vote","Republican","Very unfavorable","Somewhat favorable","Very Unfavorable","Very Favorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat unfavorable","Somewhat unfavorable","Very Unfavorable","Very Favorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat favorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,1,15,"Republican Donald Trump","Democrat Kamala Harris","Democrat","Very favorable","Somewhat favorable","Somewhat Favorable","Very Favorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,15,"other_did_not_vote","other_did_not_vote","Independent","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat favorable","Somewhat favorable","Very Favorable","Somewhat Unfavorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,15,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,0,15,"other_did_not_vote","other_did_not_vote","Democrat","Never heard of/Not sure","Somewhat unfavorable","Very Unfavorable","Very Favorable"
1,1,15,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,15,"Republican Donald Trump","Democrat Kamala Harris","Republican","Somewhat unfavorable","Somewhat favorable","Very Unfavorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","Republican Donald Trump","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Unfavorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Something else","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,15,"Republican Donald Trump","Democrat Kamala Harris","Independent","Somewhat favorable","Somewhat favorable","Very Unfavorable","Somewhat Favorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,15,"Democrat Joe Biden","other_did_not_vote","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,15,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,15,"other_did_not_vote","other_did_not_vote","Democrat","Very favorable","Very unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
1,0,14,"other_did_not_vote","other_did_not_vote","Something else","Never heard of/Not sure","Never heard of/Not sure","Very Unfavorable","Somewhat Favorable"
1,1,14,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
1,0,14,"other_did_not_vote","other_did_not_vote","Independent","Never heard of/Not sure","Never heard of/Not sure","Somewhat Unfavorable","Somewhat Unfavorable"
1,1,14,"other_did_not_vote","other_did_not_vote","Democrat","Very unfavorable","Never heard of/Not sure","Somewhat Favorable","Very Unfavorable"
1,1,14,"other_did_not_vote","other_did_not_vote","Independent","Somewhat favorable","Somewhat favorable","Somewhat Favorable","Somewhat Favorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,14,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,14,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,1,14,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,1,14,"Republican Donald Trump","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,14,"other_did_not_vote","other_did_not_vote","Independent","Never heard of/Not sure","Never heard of/Not sure","Very Unfavorable","Not sure/Never Heard of"
1,0,14,"other_did_not_vote","other_did_not_vote","Independent","Somewhat favorable","Somewhat favorable","Very Unfavorable","Somewhat Favorable"
1,1,14,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,14,"Democrat Joe Biden","other_did_not_vote","Independent","Very favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,14,"Democrat Joe Biden","Republican Donald Trump","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Unfavorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,14,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,14,"other_did_not_vote","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,0,14,"other_did_not_vote","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,14,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Never heard of/Not sure","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
1,0,14,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,16,"Republican Donald Trump","other_did_not_vote","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,0,16,"other_did_not_vote","other_did_not_vote","Something else","Never heard of/Not sure","Never heard of/Not sure","Not sure/Never Heard of","Not sure/Never Heard of"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,16,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat unfavorable","Very Unfavorable","Very Unfavorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Somewhat Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Something else","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"Republican Donald Trump","other_did_not_vote","Republican","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
1,1,16,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Somewhat unfavorable","Somewhat Favorable","Very Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
1,0,16,"other_did_not_vote","other_did_not_vote","Something else","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
1,0,16,"Democrat Joe Biden","other_did_not_vote","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Very Favorable"
1,1,16,"other_did_not_vote","Republican Donald Trump","Republican","Somewhat unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","other_did_not_vote","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Democrat","Somewhat unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat unfavorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"other_did_not_vote","other_did_not_vote","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Never heard of/Not sure","Never heard of/Not sure","Somewhat Favorable","Very Unfavorable"
1,1,16,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat unfavorable","Very unfavorable","Somewhat Unfavorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,1,16,"Republican Donald Trump","other_did_not_vote","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Not sure/Never Heard of"
1,0,16,"other_did_not_vote","other_did_not_vote","Democrat","Somewhat unfavorable","Very favorable","Somewhat Favorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,16,"Democrat Joe Biden","other_did_not_vote","Independent","Somewhat favorable","Somewhat favorable","Somewhat Unfavorable","Somewhat Unfavorable"
1,0,16,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,17,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
1,0,17,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very unfavorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,0,17,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
1,1,17,"Republican Donald Trump","other_did_not_vote","Republican","Somewhat unfavorable","Very favorable","Very Favorable","Very Unfavorable"
1,0,17,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat unfavorable","Somewhat unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,0,17,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
1,1,17,"Republican Donald Trump","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
1,1,17,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
